kode_rs,nama_rs,alamat_rs,telepon_rs
1101015,RS Umum Daerah Simeulue,Jl. Teuku Raja Mahmud Desa Amiria Bahagia Kecamatan Simeulue Timur,(0650) 8001070
1102016, RS Umum Daerah Aceh Singkil,Jl. Rimo/Singkil Km.8,0658-21878
1103010,RS Umum Daerah Dr. H. Yulidin Away,Jl. T. Ben Mahmud Nomor 86 A Tapaktuan,0656-21013
1104011,RS Umum Daerah H. Sahudin Kutacane,Jl. Raya Kutacane - Blang Kejeran KM 3 Kutacane,0629-21676
1173012,RS Umum Daerah Langsa,Jl. Ahmad Yani No.1  Kec. Langsa Kota,0641-21457
1105034,RS Umum Pertamina Rantau,Jl. Cepu No 1 Komplek Pertamina Rantau Aceh Tamiang,0641 - 350185
1173045, RS Cut Nyak Dhien Langsa,Jl. T.M. Bachrun No.1. Langsa,0641-21039
1105056, RS Umum Daerah dr. Zubir Mahmud,Jl. Medan-Banda Aceh Km. 372 Desa Seuneubok Barat Kec.Idi timur Kab.Aceh timur,0646-21139
1106013,RS Umum Daerah Datu Beru Takengon,Jl. Rumah Sakit No.153 Kec. Kebayakan,0643-21126
1107014,RS Umum Daerah Cut Nyak Dhien,Jl. Gajah Mada Meulaboh,0655-7551273
1108015,RS Umum Daerah Kabupaten Aceh Besar,Jl. Banda Aceh-Medan KM.25 Sinyeu Indrapuri,0651-8070165
1109016, RS Umum Daerah TGK Chik Ditiro Sigli,Jl. Prof. A. Majid Ibrahim Sigli,0653-21313
1109027, RS Umum Daerah TGK. Abdullah Syafii Beureuneun,"Jl. Banda Aceh - Medan Km.125,5 Kota Mini - Beureunuen",0653-821576
1174016, RS Umum Daerah Cut Meutia Kab. Aceh Utara,Jl. Banda Aceh-Medan Km.6 Buket Rata Lhokseumawe,0645-46334
1110027,RS Umum Malahayati,"Jl. Medan - Banda Aceh No.100 M, Meunasah Blang - Bireuen",0644-21394
1110053,RS Arun Lhokseumawe,JL. Plaju Komplek Perumahan PT Arun Batuphat,0645 653165
1174064,RS Umum Yayasan Kasih Ibu,Jl. Merdeka No.17. Lhokseumawe,48713
1110075,RS Umum Daerah Dr. Fauziah Bireun,Jl. Mayjen T. Hamzah Bendahara No.13. Bireuen,0644-21228
1110086,RS Umum Bunda ,Jl. Darussalam 16.Lhokseumawe,0645 46925
1174100, RS Tk. IV Lhokseumawe Aceh Utara,Jl. Samudra No.53A Kp Jawa Kec. Banda Sakti Lhokseumawe AUT,0645-42617
1112011,RS Umum Daerah Teungku Peukan,"Blang Pidie,Aceh Barat Daya",0659-92522
1113012,RS Umum Muhammad Ali Kasim,"Jl.Pangur-Sangir, Kec Dabun Gelang",0642-21633
1114011, RS Umum Daerah Tamiang,"Jl. Kesehatan,Kab.Aceh Tamiang",0641-332983
1115012,RS Umum Daerah Sultan Iskandar Muda Nagan Raya,"Jl. Nasional Meulaboh-Tapak Tuan KM. 28,5 Ujung Patihah Kabupaten Nagan Raya",0655-7141059
1117025,RS Umum Daerah Muyang Kute Redelong Bener Meriah,"Jl. Sp.Teritit _ Sp.Tiga, Redelong, Sp.Empat Kute Kering, Redelong",0643-7426252
1171015,RS Umum Daerah  Dr. Zainoel Abidin,"Jl. Tgk Daud Beureueh, NO. 108 B. Aceh",0651-34562
1171026, RS Tk. II Iskandar Muda Banda Aceh,Jl. T. Hamzah Bendahara No. 1 Banda Aceh,065124712
1171041,RS Jiwa Aceh,"Jl. Dr.T.Syarief  Thayeb,No.25 Banda Aceh",0651-32020
1171085,RS Umum Malahayati,"Jl. Cut Nyak Dhien No : 498 ,Banda Aceh",0651- 46115
1171096, RS Umum Harapan Bunda Banda Aceh,"Jl. Teuku Umar 181,Banda Aceh",0651- 48114
1171106,RS Umum Teungku Fakinah,"Jl. Jend.Sudirman 27-29,Banda Aceh",41454
1171110,RS Umum Daerah Meuraxa,Jalan Soekarno Hatta Km.2 Desa Mibo Kecamatan Banda Raya Kota Banda Aceh,0651-43097
1171121,RS Ibu dan Anak Propinsi NAD,"Jl. Prof.A.Madjid Ibrahim I, No. 3 Banda Aceh",0651-637796
1171143,RS Bhayangkara Banda Aceh,"Jl. Cut Nyak Dhien No. 23, Lamteumen Barat Banda Aceh",0651-41470
1172016,RS Umum Daerah Sabang,Jl. Teuku Umar Sabang,0652-22156
1172031, RS AL Sabang,Jl. T. Chik Ditiro Kota Atas Sabang,0652-21302
1111018,RS Umum PMI Cabang Aceh Utara,Jl. Samudera Kp. Jawa Lama,0645-43012
1201016,RS Umum Daerah Gunungsitoli,Jl dr. CiptomangunKusumo No 15 Gunungsitoli,(0639)21474
1202017,RS Umum Daerah dr. Husni Thamrin,Jl Multatuli No. 72 Kec. Natal Kab. Mandailing Natal Prop. Sumatera Utara,0636-7325118
1277011,RS Umum Daerah Padang Sidempuan,"Jl Dr. F.L. Tobing No. 10,Padangsidimpuan",063421251
1203022,RS Umum Daerah Panyabungan,"Jl Merdeka No.40, Kayu Jati Panyabungan",0636-20181
1203033,RS Umum Daerah Tapanuli Selatan,"Jl RSU No.1,Sipirok Tapsel",0634-41002
1203044,RS Umum Daerah Gunung Tua,Jl Raya gunung Tua - Binangan KM 6 Aek Haruaya,0635-510567
1203055,RS Umum Daerah Sibuhuan,Jl KH. Dewantara Sibuhuan Kec. Barumun,0636(421623)
1204056,RS Umum Daerah Pandan,Jl Dr. FL. Tobing No. 05 Pandan,0631-372343
1205013,RS Umum Daerah Tarutung,Jl Agus Salim No. 1 Tarutung,0633-21303
1205024,RS Umum Daerah Dr. Hadrianus Sinaga,Jl Dr Hadrianus Sinaga No. 86 Pangururan,0626-20923
1205035,RS Umum Daerah Dolok Sanggul,Jl. dr. Ferdinand Lumban Tobing No. 1 Dolok Sanggul,0633-31022
1205046,RS Umum Daerah Porsea,"Jl Raja Sipakko Napitulu, Ds. Parparean, Kec. Porsea, Kab. Toba Samosir",0632-41084
1205061,RS Umum HKBP Balige,"Jl Gereja No.17,Balige",0632-21043
1207015,RS Umum Daerah Rantau Prapat,"Jl KH Dewantara 129, Rantau Prapat",08126020268
1207052,RS Umum Sri Torgamba,"Torgamba Aek Batu,Labuhan Batu",061-8452244
1208016,RS Umum Daerah H. Abdul Manan Simatupang,Jl. Sisingamangaraja No. 310 Kisaran,0623-41785
1208020,RS Umum Ibu Kartini,Jl Syech Silau Rengas Kisaran,41663
