kode_rs,nama_rs,total_tt,lk_terpakai,pr_terpakai,terpakai,lk_kosong,pr_kosong,kosong,wait_list,tgl_update
1101015,RS Umum Daerah Simeulue,790,235,274,509,28,46,281,426,04/Jul/2017 14:48:09
1102016,RS Umum Daerah Aceh Singkil,105,10,15,25,34,46,80,0,17/Apr/2020 06:37:24
1103010,RS Umum Daerah Dr. H. Yulidin Away,9,0,0,0,0,0,9,0,24/Feb/2018 09:56:22
1104011,RS Umum Daerah H. Sahudin Kutacane,155,71,80,151,71,80,4,0,16/Apr/2020 10:31:42
1173012,RS Umum Daerah Langsa,489,144,190,334,10,9,155,87,02/Jul/2018 08:07:45
1105034,RS Umum Pertamina Rantau,50,7,8,15,18,17,35,0,26/Feb/2019 10:22:18
1173045,RS Cut Nyak Dhien Langsa,79,17,30,47,25,5,32,0,05/Apr/2018 11:57:34
1105056,RS Umum Daerah dr. Zubir Mahmud,161,28,27,55,42,63,106,0,17/Apr/2020 06:42:49
1106013,RS Umum Daerah Datu Beru Takengon,289,43,32,75,58,86,214,0,03/Sep/2018 09:52:41
1107014,RS Umum Daerah Cut Nyak Dhien,235,75,88,163,35,28,72,0,26/Feb/2019 06:10:22
1108015,RS Umum Daerah Kabupaten Aceh Besar,106,0,0,0,56,50,106,0,08/Feb/2019 07:09:07
1109016,RS Umum Daerah TGK Chik Ditiro Sigli,345,129,124,253,177,168,92,0,14/Apr/2020 09:03:43
1109027,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,145,64,61,125,64,61,20,0,06/Mar/2019 06:59:26
1174016,RS Umum Daerah Cut Meutia Kab. Aceh Utara,312,84,74,158,72,81,154,0,08/Jun/2018 11:32:53
1110027,RS Umum Malahayati,57,22,21,43,6,8,14,0,19/Feb/2019 06:27:54
1110053,RS Arun Lhokseumawe,10,0,5,5,0,5,5,0,27/Feb/2018 07:55:04
1110075,RS Umum Daerah Dr. Fauziah Bireun,619,180,207,387,92,107,232,0,01/Mar/2019 12:06:28
1110086,RS Umum Bunda,52,0,0,0,14,52,52,0,27/Feb/2018 10:12:01
1174100,RS Tk. IV Lhokseumawe Aceh Utara,128,32,22,54,0,0,74,0,19/Apr/2020 02:53:57
1112011,RS Umum Daerah Teungku Peukan,217,84,76,160,19,38,57,0,01/Mar/2019 11:41:29
1113012,RS Umum Muhammad Ali Kasim,97,32,26,58,0,0,39,0,08/Mar/2019 05:36:11
1114011,RS Umum Daerah Tamiang,438,201,242,443,115,115,-5,0,14/Sep/2017 10:50:16
1115012,RS Umum Daerah Sultan Iskandar Muda Nagan Raya,131,20,30,50,35,46,81,0,14/Apr/2020 06:29:49
1117025,RS Umum Daerah Muyang Kute Redelong Bener Meriah,163,19,40,59,50,54,104,0,04/Mar/2019 08:40:37
1171015,RS Umum Daerah  Dr. Zainoel Abidin,586,131,87,218,0,0,368,0,17/Apr/2020 15:31:55
1171026,RS Tk. II Iskandar Muda Banda Aceh,137,27,25,52,43,42,85,0,17/Apr/2020 10:33:14
1171041,RS Jiwa Aceh,354,268,53,321,37,12,33,0,02/Feb/2018 06:25:16
1171096,RS Umum Harapan Bunda Banda Aceh,142,0,0,0,0,0,142,0,27/Feb/2018 07:57:00
1171110,RS Umum Daerah Meuraxa,232,63,72,135,49,52,97,0,08/Mar/2019 01:24:24
1171121,RS Ibu dan Anak Propinsi NAD,140,19,54,73,0,15,67,0,06/Mar/2019 05:59:33
1172016,RS Umum Daerah Sabang,54,9,6,15,0,0,39,0,12/Mar/2018 08:30:26
1172031,RS AL Sabang,34,3,4,7,12,8,27,0,27/Feb/2018 07:41:55
1111018,RS Umum PMI Cabang Aceh Utara,49,0,0,0,0,0,49,0,05/Apr/2020 19:54:26
1202017,RS Umum Daerah dr. Husni Thamrin,12,2,3,5,4,3,7,0,19/Feb/2018 02:03:02
1277011,RS Umum Daerah Padang Sidempuan,194,9,3,12,0,0,182,0,19/Apr/2020 02:32:13
1203022,RS Umum Daerah Panyabungan,110,47,41,88,10,12,22,0,01/Mar/2019 07:09:34
1203033,RS Umum Daerah Tapanuli Selatan,80,0,0,0,0,0,80,0,02/Mar/2019 11:07:27
1203044,RS Umum Daerah Gunung Tua,100,8,8,16,32,52,84,0,17/Apr/2020 06:08:04
1203055,RS Umum Daerah Sibuhuan,91,22,16,38,24,24,53,0,11/Apr/2020 06:41:18
1204056,RS Umum Daerah Pandan,100,11,36,47,0,0,53,0,19/Feb/2018 10:22:25
